"","id","site","location","latitude","longitude","depth","temperature","total_length","total_weight","age","logTL","logDepth","logAge","logTW"
"91","091-Pl-01/08/10","PuertoAventuras","Paamul",20.51277778,-87.19194444,16.3,29,163,30.1,0.668157529979766,5.09375020080676,2.79116510781272,-0.403231309924437,3.40452517175483
"92","092-Pl-01/08/10","PuertoAventuras","Paamul",20.51277778,-87.19194444,17.5,29,91,5.8,0.387496546036411,4.51085950651685,2.86220088092947,-0.948048343682882,1.75785791755237
"93","093-Pl-01/08/10","PuertoAventuras","Paamul",20.51277778,-87.19194444,19.2,29,108,7.4,0.44778582212265,4.68213122712422,2.95491027903374,-0.803440236500822,2.00148000021012
"94","094-Pl-01/08/10","PuertoAventuras","Paamul",20.51277778,-87.19194444,14.9,29,145,41.4,0.59123137910323,4.97673374242057,2.70136121295141,-0.525547833789103,3.72328088083127
"95","095-Pl-01/08/10","PuertoAventuras","Paamul",20.51277778,-87.19194444,14.8,29,111,11,0.458765266340532,4.70953020131233,2.69462718077007,-0.779216602040561,2.39789527279837
"96","096-Pl-01/08/10","PuertoAventuras","Paamul",20.51277778,-87.19194444,16.9,29,119,10.6,0.488573234691521,4.77912349311153,2.82731362192903,-0.716265901250602,2.36085400111802
"97","097-Pl-01/08/10","PuertoAventuras","Paamul",20.51277778,-87.19194444,18.2,29,116,19.8,0.477303420308173,4.75359019110636,2.90142159408275,-0.739602889045463,2.98568193770049
"98","098-Pl-01/08/10","PuertoAventuras","Paamul",20.51277778,-87.19194444,15.9,29,108,12.1,0.44778582212265,4.68213122712422,2.76631910922619,-0.803440236500822,2.4932054526027
"99","099-Pl-01/08/10","PuertoAventuras","Paamul",20.51277778,-87.19194444,12.9,29,119,8.5,0.488573234691521,4.77912349311153,2.55722731136763,-0.716265901250602,2.14006616349627
"100","100-Is-01/08/10","PuertoAventuras","Islas",20.49,-87.22805556,17.3,29,164,38.2,0.672587803179377,5.0998664278242,2.85070650150373,-0.396622613680149,3.64283551561253
"101","101-Is-01/08/10","PuertoAventuras","Islas",20.49,-87.22805556,18.2,29,93,8.2,0.394425614068364,4.53259949315326,2.90142159408275,-0.930324713970048,2.10413415427021
"102","102-Is-01/08/10","PuertoAventuras","Islas",20.49,-87.22805556,19.4,29,92,8.2,0.390955798742353,4.52178857704904,2.96527306606928,-0.939160772081781,2.10413415427021
"103","103-Is-01/08/10","PuertoAventuras","Islas",20.49,-87.22805556,15.2,29,85,6.7,0.366959294832213,4.44265125649032,2.72129542785223,-1.00250435034262,1.90210752639692
"104","104-Is-01/08/10","PuertoAventuras","Islas",20.49,-87.22805556,16.3,29,72,5.3,0.323695717616977,4.27666611901606,2.79116510781272,-1.12795134761852,1.66770682055808
"105","105-Is-01/08/10","PuertoAventuras","Islas",20.49,-87.22805556,15.9,29,60,1.6,0.28517122707643,4.0943445622221,2.76631910922619,-1.2546654823602,0.470003629245736
"106","106-Pd-10/08/10","PuertoAventuras","Pared",20.50166667,-87.21166667,21,30,116,12.2,0.477303420308173,4.75359019110636,3.04452243772342,-0.739602889045463,2.50143595173921
"107","107-Pd-10/08/10","PuertoAventuras","Pared",20.50166667,-87.21166667,18,30,158,42.4,0.64626159945036,5.06259503302697,2.89037175789616,-0.436550904461219,3.74714836223791
"108","108-Pd-10/08/10","PuertoAventuras","Pared",20.50166667,-87.21166667,15.6,30,225,126.7,0.98188085535644,5.41610040220442,2.74727091425549,-0.0182853065461728,4.84182208732709
"109","109-Pd-10/08/10","PuertoAventuras","Pared",20.50166667,-87.21166667,16.5,30,104,7,0.433309656466479,4.64439089914137,2.80336038090653,-0.836302664616888,1.94591014905531
